epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.622,0.97141,2.43226,1.39666,0.36639,0.39113,0.29272,0.20485,0.91921,2.39939,1.17523,0.000302548,0.000302548,0.000302548
2,240.949,0.98566,1.54508,1.39381,0.41262,0.3826,0.31548,0.2272,0.93959,2.07912,1.18422,0.000545599,0.000545599,0.000545599
3,354.475,0.95682,1.27582,1.3824,0.59345,0.3913,0.4455,0.30832,0.96635,1.90729,1.2061,0.000728655,0.000728655,0.000728655
4,466.353,0.91344,1.08353,1.34166,0.54391,0.47568,0.49446,0.35951,0.88045,1.69387,1.13624,0.000639027,0.000639027,0.000639027
5,578.074,0.8777,0.93819,1.30418,0.56513,0.43915,0.50896,0.3805,0.86585,1.62298,1.14095,0.000549036,0.000549036,0.000549036
6,692.366,0.84809,0.8442,1.28029,0.53669,0.506,0.54077,0.41398,0.83205,1.50804,1.10403,0.000459045,0.000459045,0.000459045
7,808.627,0.80676,0.76159,1.2473,0.61175,0.4507,0.54502,0.41808,0.79547,1.50827,1.07732,0.000369054,0.000369054,0.000369054
8,923.805,0.77068,0.69149,1.21944,0.60573,0.45481,0.56059,0.43755,0.79812,1.50544,1.09038,0.000279063,0.000279063,0.000279063
9,1037.77,0.74574,0.62738,1.19807,0.60631,0.53056,0.61598,0.48364,0.77714,1.31564,1.0653,0.000189072,0.000189072,0.000189072
10,1150.71,0.73165,0.59241,1.18122,0.61425,0.5554,0.62319,0.48811,0.77207,1.24005,1.06295,9.9081e-05,9.9081e-05,9.9081e-05
