epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.018,1.08665,2.78911,1.40264,0.82777,0.7352,0.82006,0.59465,0.94895,1.08171,1.35045,0.000151344,0.000151344,0.000151344
2,252.635,0.95903,1.32102,1.28499,0.83881,0.83779,0.89184,0.67784,0.78418,0.79299,1.24676,0.000243015,0.000243015,0.000243015
3,374.117,0.90107,1.06261,1.23998,0.86376,0.84005,0.89923,0.68166,0.84151,0.78716,1.26432,0.000274625,0.000274625,0.000274625
4,495.073,0.86237,0.91351,1.21588,0.85936,0.87335,0.91497,0.71716,0.76448,0.64669,1.19765,0.00018473,0.00018473,0.00018473
5,616.21,0.80389,0.78894,1.18068,0.90866,0.90105,0.94702,0.75851,0.71227,0.52211,1.16345,9.464e-05,9.464e-05,9.464e-05
1,130.537,1.08665,2.78911,1.40264,0.82777,0.7352,0.82006,0.59465,0.94895,1.08171,1.35045,0.000151344,0.000151344,0.000151344
2,253.124,0.97511,1.33306,1.29399,0.78925,0.75672,0.81828,0.61083,0.8228,0.91362,1.26963,0.000293011,0.000293011,0.000293011
3,377.011,0.94385,1.10453,1.26521,0.77378,0.76672,0.83726,0.63279,0.86284,0.93102,1.29546,0.000424669,0.000424669,0.000424669
4,500.404,0.9334,0.98705,1.26032,0.85959,0.81814,0.88263,0.67134,0.82307,0.77106,1.26817,0.000409955,0.000409955,0.000409955
5,621.611,0.90171,0.87588,1.24122,0.86406,0.86816,0.91683,0.70457,0.80992,0.65425,1.2363,0.00039494,0.00039494,0.00039494
6,738.732,0.87234,0.80421,1.21694,0.89307,0.8802,0.92861,0.71385,0.79024,0.58638,1.22621,0.000379925,0.000379925,0.000379925
7,857.806,0.86274,0.7488,1.21244,0.88666,0.8262,0.92285,0.71714,0.77713,0.6274,1.21079,0.00036491,0.00036491,0.00036491
8,976.928,0.84283,0.72216,1.20343,0.9055,0.88508,0.9432,0.73749,0.77101,0.5403,1.21106,0.000349895,0.000349895,0.000349895
