epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,509.549,1.13321,2.01244,1.64853,0.22786,0.34464,0.23293,0.14809,1.16208,2.17998,1.54314,0.000302548,0.000302548,0.000302548
2,1012.39,1.15004,1.69907,1.65639,0.39312,0.37619,0.33258,0.22179,1.07414,1.88472,1.4754,0.000545599,0.000545599,0.000545599
3,1510.87,1.06493,1.48176,1.58354,0.3664,0.41621,0.37336,0.25238,1.08256,1.82457,1.45049,0.000728655,0.000728655,0.000728655
4,2007.28,0.99668,1.3124,1.51677,0.48909,0.39483,0.4083,0.29819,0.94268,1.80527,1.33845,0.000639027,0.000639027,0.000639027
5,2504.44,0.94764,1.14774,1.47353,0.54079,0.39038,0.45543,0.32966,0.94225,1.69277,1.35395,0.000549036,0.000549036,0.000549036
6,3000.54,0.91568,1.06375,1.43565,0.53508,0.4174,0.47911,0.36173,0.85167,1.54362,1.26131,0.000459045,0.000459045,0.000459045
7,3496.78,0.86406,0.96135,1.38376,0.53044,0.47134,0.51185,0.38352,0.86583,1.48087,1.27235,0.000369054,0.000369054,0.000369054
8,3994.44,0.8334,0.86092,1.36099,0.59853,0.41716,0.52439,0.39797,0.84301,1.53044,1.26017,0.000279063,0.000279063,0.000279063
9,4491.68,0.79715,0.77534,1.3325,0.57171,0.43377,0.53572,0.4148,0.814,1.44408,1.24232,0.000189072,0.000189072,0.000189072
10,4988.58,0.78382,0.72621,1.31721,0.60561,0.43763,0.58342,0.45876,0.79869,1.35055,1.22036,9.9081e-05,9.9081e-05,9.9081e-05
